Sample	Condition	Age	Batch	Admixture_Component_1	Admixture_Component_2	Geno_PC1	Geno_PC2	Holstein_percentage
T031	Infected	33	2	0.32653	0.67347	-0.04210	-0.01502	34.38
T032	Infected	28	2	0.283282	0.71672	-0.05457	-0.02848	46.88
T033	Infected	29	2	0.347695	0.65231	-0.03523	-0.02562	46.88
T034	Infected	41	2	0.567309	0.43269	0.03568	0.00485	46.88
T035	Infected	41	2	0.508383	0.49162	0.01727	0.00768	37.50
T036	Infected	42	2	0.185753	0.81425	-0.08740	0.01197	0.00
T037	Infected	42	2	0.488104	0.51190	0.00968	0.01644	50.00
T038	Infected	42	2	0.310891	0.68911	-0.04463	0.00366	71.88
T039	Infected	30	2	0.344711	0.65529	-0.03161	-0.14779	53.13
T040	Infected	29	2	0.321507	0.67849	-0.03944	-0.16534	53.13
T041	Infected	30	2	0.145367	0.85463	-0.09160	-0.13766	12.50
T042	Infected	24	2	0.678231	0.32177	0.06416	-0.01880	78.13
T043	Infected	22	2	0.12701	0.87299	-0.10726	0.06344	43.75
T044	Infected	22	2	0.148522	0.85148	-0.09986	0.05856	46.88
T045	Infected	21	2	0.140659	0.85934	-0.10085	0.07136	46.88
T046	Infected	21	2	0.132722	0.86728	-0.10552	0.05941	43.75
T047	Infected	21	2	0.197582	0.80242	-0.08503	0.05051	43.75
T048	Infected	22	2	0.16828	0.83172	-0.08935	-0.01916	34.38
T049	Infected	10	2	0.309466	0.69053	-0.04683	-0.03122	43.75
T050	Infected	10	2	0.223127	0.77687	-0.07345	-0.01871	46.88
T051	Infected	10	2	0.287257	0.71274	-0.05347	-0.01803	43.75
T052	Infected	10	2	0.159187	0.84081	-0.09233	-0.01725	46.88
T053	Infected	10	2	0.232112	0.76789	-0.07002	-0.02049	43.75
T054	Infected	9	2	0.327029	0.67297	-0.04326	-0.01515	50.00
T055	Infected	21	2	0.269486	0.73051	-0.05924	-0.02456	9.38
T056	Infected	24	2	0.597913	0.40209	0.04267	-0.01014	87.50
T057	Infected	24	2	0.636601	0.36340	0.05181	-0.02986	81.25
T058	Infected	25	2	0.346703	0.65330	-0.03513	-0.01684	43.75
T059	Infected	24	2	0.341911	0.65809	-0.03659	-0.01039	43.75
T060	Infected	21	2	0.00001	0.99999	-0.14707	0.04407	0.00
T061	Infected	21	2	0.138352	0.86165	-0.10324	0.01552	0.00
T062	Infected	21	2	0.042159	0.95784	-0.13369	0.03506	0.00
T063	Infected	21	2	0.036355	0.96365	-0.13519	0.05717	9.38
T064	Infected	17	2	0.11138	0.88862	-0.11047	0.01962	0.00
