Sample	Condition	Age	Batch	Admixture_Component_1	Admixture_Component_2	Geno_PC1	Geno_PC2	Holstein%
T029	Infected	26	1	0.286395	0.71361	-0.0538938	-0.012269	43.75
T030	Infected	29	1	0.322408	0.67759	-0.0454385	-0.0087921	43.75
T031	Infected	33	2	0.32653	0.67347	-0.0420958	-0.0150168	34.38
T032	Infected	28	2	0.283282	0.71672	-0.0545747	-0.0284782	46.88
T033	Infected	29	2	0.347695	0.65231	-0.0352268	-0.0256232	46.88
T034	Infected	41	2	0.567309	0.43269	0.035679	0.00485042	46.88
T035	Infected	41	2	0.508383	0.49162	0.0172748	0.007675	37.50
T036	Infected	42	2	0.185753	0.81425	-0.0873991	0.0119699	0.00
T037	Infected	42	2	0.488104	0.51190	0.00967553	0.0164435	50.00
T038	Infected	42	2	0.310891	0.68911	-0.0446284	0.00366152	71.88
T039	Infected	30	2	0.344711	0.65529	-0.0316115	-0.147788	53.13
T040	Infected	29	2	0.321507	0.67849	-0.0394425	-0.165344	53.13
T041	Infected	30	2	0.145367	0.85463	-0.091595	-0.137661	12.50
T042	Infected	24	2	0.678231	0.32177	0.0641576	-0.0188043	78.13
T043	Infected	22	2	0.12701	0.87299	-0.10726	0.0634444	43.75
T044	Infected	22	2	0.148522	0.85148	-0.0998603	0.0585575	46.88
T045	Infected	21	2	0.140659	0.85934	-0.100845	0.0713625	46.88
T046	Infected	21	2	0.132722	0.86728	-0.10552	0.059414	43.75
T047	Infected	21	2	0.197582	0.80242	-0.0850297	0.0505108	43.75
T048	Infected	22	2	0.16828	0.83172	-0.0893461	-0.0191595	34.38
T049	Infected	10	2	0.309466	0.69053	-0.0468347	-0.0312179	43.75
T050	Infected	10	2	0.223127	0.77687	-0.073447	-0.0187113	46.88
T051	Infected	10	2	0.287257	0.71274	-0.0534709	-0.0180346	43.75
T052	Infected	10	2	0.159187	0.84081	-0.0923301	-0.0172534	46.88
T053	Infected	10	2	0.232112	0.76789	-0.0700189	-0.0204876	43.75
T054	Infected	9	2	0.327029	0.67297	-0.0432602	-0.0151526	50.00
T055	Infected	21	2	0.269486	0.73051	-0.0592391	-0.0245557	9.38
T056	Infected	24	2	0.597913	0.40209	0.0426656	-0.0101425	87.50
T057	Infected	24	2	0.636601	0.36340	0.0518149	-0.0298606	81.25
T058	Infected	25	2	0.346703	0.65330	-0.0351338	-0.0168405	43.75
T059	Infected	24	2	0.341911	0.65809	-0.0365861	-0.010387	43.75
T060	Infected	21	2	0.00001	0.99999	-0.147068	0.0440696	0.00
T061	Infected	21	2	0.138352	0.86165	-0.103239	0.0155212	0.00
T062	Infected	21	2	0.042159	0.95784	-0.133693	0.0350598	0.00
T063	Infected	21	2	0.036355	0.96365	-0.135193	0.0571659	9.38
T064	Infected	17	2	0.11138	0.88862	-0.110472	0.0196174	0.00
