C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	T001	T002	T003	T004	T005	T006	T007	T008	T009	T010	T011	T013	T014	T015	T016	T017	T018	T019	T020	T022	T023	T024	T026	T028	T029	T030	T031	T032	T033	T034	T035	T036	T037	T038	T039	T040	T041	T042	T043	T044	T045	T046	T047	T048	T049	T050	T051	T052	T053	T054	T055	T056	T057	T058	T059	T060	T061	T062	T063	T064
PC1	0.157116596488103	1.53287412736145	0.0802472303663353	-0.833847210950753	0.0667130931568759	0.0455587398941621	-0.367446799729441	-0.267471343097907	0.411238322715787	-0.0529350483075216	-2.42739158093054	-1.08033957035521	-0.571709111202451	0.71334700009447	-1.22946304140868	0.0252019055180426	-0.335658468099556	-0.943704582880598	0.22547208326695	-0.881047212029207	-1.73828838007542	-0.327240594138424	-0.829693610328646	-2.26949351345641	-0.236323357686209	-2.94105410722738	-1.5840953477303	-0.287195709227832	-0.241715778879792	-0.686681694334743	0.166763309332976	0.24272906797245	0.745180527448013	-0.0486586887856183	0.498264619363259	-0.29202111619836	-0.588073659793558	0.703544230989164	-0.960100352673897	-0.797981641061812	-0.499760216132349	-1.04909084769223	-1.10952748319348	0.943771708983473	0.951451833218458	0.796305184048992	0.359513323467693	0.0513359683418812	0.518563295198114	0.469400858217433	0.325759667312072	0.306456339775558	1.05182480598325	0.470168676474916	0.722004533268242	-0.522788574507605	0.409002401585891	0.738677323807015	-0.124265275252062	0.260232112742673	0.0720311457126838	0.47152913158042	-0.135065307424396	-1.1368874131684	-1.82250284856256	-1.51752193346232	-0.449559507976897	-0.224062992076646	-1.51460523477974	-1.02558606059301	-1.7188977357856	-1.13580528354058	-1.7493748619979	0.161117563433009	-0.569068911484171	1.16427805107042	-0.498740863664789	-0.635013690146593	-0.215148155909165	-0.0657614149830355	0.6946702425919	0.976196115177124	0.241868984110615	-0.157164426017798	0.758819513085944	0.139893654133769	-0.398242112861874	-0.976019996142947	-0.142505953790118	-0.600979222043635	-0.89261269357399	-0.0333922622790462	-0.128465395444856	-0.622512929337927	0.0928037110569188	0.22493884616927	-0.492659070871307	0.438437195382512	-0.540723718971089	-0.00217985309026179	1.59410054857203	1.95659276883269	0.638267407287962	0.630205479909126	1.71077224441786	1.20088426000077	1.38563152515791	2.36125401090547	2.24429396123421	0.472745541749389	1.46888233540723	0.556837556406318	2.21460516445065	1.5447096898636	1.23973271405011	1.88940457348623	1.89328735973148	-0.830001702362892	0.65747968301045	0.398989402968767	1.19756999769799	1.0190865231445	-1.3445103184715
PC2	-1.81378564651708	0.738475442419979	0.58149821114921	-0.330075803150743	-0.95157400507677	-0.374303126089567	-1.92424138677557	-1.47861603752447	-0.0574393811973423	-0.826415506178103	-0.32519605550169	-0.583242307150993	-1.72455757077036	-2.10604022479568	-0.937501707475845	-2.7108662863381	-1.6511806356224	-1.76191635568196	-0.602663751920229	-1.2039249227806	-1.11373298972465	-0.195510212446163	-1.93308916461091	-0.593132203019617	-0.463300326003642	-0.18524953698143	-1.99524904189887	-1.31317733923921	-0.791451516533834	-1.71682082568832	0.0890672468113381	-0.472888601586482	-0.453195932496898	-0.223805999153589	-0.129921985752746	-0.303760445766004	-0.538975966073929	0.21238898831616	0.492943203991548	0.710397379244596	0.275927567499204	1.93339155907527	0.544533964012218	1.62219932883969	1.45880008131206	1.13859575024952	0.745435999653103	0.491086124363252	1.19457572108171	1.04352980105793	0.177751897089425	0.177203316637796	-0.0827435669597411	1.1143853145328	-0.812545146751733	-0.0294020540199176	0.487082050100212	0.460525056658312	0.951750015430396	0.619803078652806	0.947546081235029	0.185860161715612	1.42826333657591	-0.0282830226767509	-0.449079212290211	1.08775311221977	1.90218626644449	1.87417788668884	1.42334203561036	0.41814524410419	1.54664788540753	0.932402729486295	-0.553362245316277	0.591810342722263	0.284580851629136	0.645138480216111	-0.297923967630353	-0.135342288787255	-0.114021308171737	0.786748405818509	-0.034148824826214	1.47982847284608	-0.729774465310014	-0.442749598298254	0.778104894031137	0.482133772588657	0.118037932088958	-0.86811599202567	0.105859973863397	-0.111360092310948	0.499396476690611	1.19542771458269	1.23887522873462	1.7236549818573	0.10206368399608	1.12549326349852	1.07819451428513	1.41614224136658	2.14868689377887	1.02146516382654	-1.52952369868209	-1.43146932512796	0.309842384065497	0.401057562201174	-0.233088140662103	-0.23684618172341	0.292757114859746	-0.449473510770842	-0.675702966187003	0.384884251370158	0.208028894349997	-0.646904592845467	-0.294010535728679	-1.11939223644808	-1.03384625281493	-0.868118842160366	-1.35711214564414	-0.415149892860575	0.0822717260773365	-0.367618523174769	1.17573888640987	0.295845387961733	0.154170094346028
PC3	0.892991893365798	1.17806193742979	2.40174948794658	1.22759594443349	1.4204480212898	-0.509347060834067	0.826792307714427	0.686299372089806	0.040545209081276	-0.443683786577661	1.12098912313809	-0.675818611615431	-0.750639439403651	-0.825178501790793	0.137291030714841	0.866968362931576	0.423343678482603	0.714288193588449	-1.04048711910147	0.643577522143673	-0.0051128070359736	-1.1161704301926	0.934564745158401	0.472932580682698	-1.40985133818401	-0.335052094934551	-0.833487239013464	0.760188191538808	-2.12327394647053	-0.33668653775448	-0.708289497333614	-0.684856592397395	-1.12006345539112	-0.229322218205409	-1.36636039515021	-0.949494806229791	-1.51587254733335	-0.298879394077118	-1.64629160076886	-1.00043784087688	-1.85707463052532	-1.31370166483559	-2.35390142332605	0.537672033006269	0.820784450962429	-0.0417899980612363	0.359148079413319	-0.437521991445194	0.151902265732333	0.355490305019693	0.0902948799670613	-0.339831074983192	-0.547733831452732	-0.47294075220415	-1.00390225719744	-0.714364146254712	-0.24231884281225	-0.149530044802936	-0.175454588054607	-0.683587753113913	-0.138708063329028	-0.448526371570314	-0.647298333070999	1.87855697581057	0.623914108735932	1.85982515202137	-0.736483049145102	-0.840388212335172	-0.936436550385443	1.40984818587324	1.26088356624488	0.149695520989067	0.355428893441292	0.686026618321966	1.016555619683	0.99502390516063	1.19415296333347	2.66062906099513	1.27078790858532	1.26242950832068	-0.288496679048209	1.28301932203875	1.53596637594767	1.13153128021385	0.463162253627797	-0.264970318972906	1.51399560069374	0.581693419480328	1.75972392646811	-1.86512838231719	-0.182947694544679	-0.388210353438803	0.442446436061567	-1.41326717108193	-0.266924086874755	0.777901622940322	0.249266859412092	0.966489268432492	1.04926285173561	0.375284982047056	-0.465668923839879	-0.223746713107916	0.892288083221763	-0.317621602522642	0.288063543871663	0.23824014556129	0.652706676241393	-0.140034845956471	0.0636077343583316	-1.63108271275086	0.709247819859373	-0.372911540644468	0.369942189558442	-0.611169647783532	-0.210184026126025	0.500412814154409	-0.00245177647618931	-1.76705568108638	-0.0528212543354877	-1.86873160970722	-1.20372833157135	0.120727111028227	-2.10935372853736
PC4	-0.75370918488937	-0.0945990099460999	-0.288713268445432	-2.29646183370116	-0.540016509307149	0.268338919001401	-0.721751138407754	-1.40565610288765	-0.967681999276371	-0.550391041040908	-0.0312735531365847	0.269817176467491	-0.859534999720177	1.72121077809386	0.618773290630824	0.347414779565651	-0.519709574328932	0.300292293349061	1.26143935567367	-0.432378376107367	-0.206133359784704	-0.609446987501824	1.29903773336786	-0.443748276818209	0.636835938100071	0.185626718197265	-0.708754193114375	0.571308906897543	1.32291088712903	0.177600809478498	0.614833304705657	0.312995189296831	-0.346012203458757	-1.28344712313136	-1.63042230917314	0.196255012635703	0.823487490754373	-0.0102216454498875	1.17191174344463	0.238628051986342	0.702453700620377	-1.21940400848225	-0.91810545274431	-1.35138249437104	-0.281077214972643	-0.318955150248798	-1.25723513653116	-0.304727815393413	-1.84236000814839	-1.73539883848461	-0.527608524669322	-0.362945316958685	-0.929473915730988	-0.337669909647022	0.119956088645117	0.0335300376611304	0.0284034201183376	-0.704229513901049	-0.799407349854019	-0.44633738730514	-1.40627335652475	0.243083437072661	-0.530661647649967	-0.171581006783245	-0.669427590940956	1.30055453297015	0.155275705696087	1.36028682649942	-0.131477572710481	-0.350109469305067	-0.370279105765576	0.605982144712607	1.57036280541021	1.75500705189656	0.597636519352069	0.544985447454261	-1.44568650278538	-0.507096955810988	0.0926254467509206	-0.90375232059142	0.537134488377275	0.421046563103818	-0.208822285060732	-0.128695690128118	1.20972635818451	0.384146584230537	0.479095236750013	0.410126822434579	0.939590299569167	-0.122071059148563	-0.265009529165406	-0.0891961432876573	1.40511904375914	2.2800542223733	1.09471275502185	0.982896359508474	0.602636752650392	1.61660960463791	1.23574109417284	1.22318679152585	2.0700256477972	2.69608306824467	0.684216257099948	-1.10851780014332	0.422062032628792	2.0837725253375	-0.242692558248927	-1.47934625564836	-0.921547390550022	-1.45150839212204	-0.047124570147996	-0.91046313977794	-2.0127519909392	-0.33456898831961	-1.0385036688317	0.507874191530563	0.898636510368995	-2.79815525563735	1.59712936866883	1.23937495372995	-0.157201886840287	-0.206245182791968	-0.424711032614684
PC5	1.19890770874228	0.00304677624367259	0.411611470282149	-0.992546535728902	0.169868949469722	-0.770848331524244	0.77597122695076	0.0891452381272034	-0.635757902739232	-1.26056096535017	0.268559035867497	-2.25293068534172	1.49745558561453	-0.0439812776952341	-0.329875217610328	-0.230512778327744	-0.825440346755048	-1.21930054766116	0.609887777294695	0.910198476377194	0.651341078606463	0.264030593950195	-0.32493685605092	0.161383714363368	-1.32474433352181	-0.0594700618519944	0.431723640314907	0.413442221893005	0.0540269769694938	0.559866137238297	-0.613087115564234	-0.882946590915151	-0.326601670173221	-3.88514486750783	0.690157105129268	0.413439697256283	1.33982276301262	0.671869202151571	0.40917213851934	0.76141767559652	0.737329647880133	-0.255935903166092	0.535273046648101	-0.083817722653934	-0.384620285796067	0.0802222386809638	0.121571478825533	-0.388452685871387	-0.159771045734262	-0.511201134985194	0.888005363788041	0.21200804532023	0.817490338692418	0.356598979855943	1.56785550842119	0.233466020802835	-0.220465216385401	0.92654844123378	-0.851682517460141	0.296238154206979	0.143658866425275	1.42563600831504	0.830702519745681	-0.571632714046663	0.309410304417133	0.125445286072641	1.13454661054487	1.41519616368903	0.643969599050657	0.32954553398636	1.43705544316376	1.74483976375959	0.723738886550031	-1.0988571607401	0.930444010200197	-0.984523222757463	-0.761387850418187	0.127288679735225	1.30555759403176	1.92556533891545	-0.0275109368938383	-0.393807406088884	0.273083171884942	0.715676474070436	-0.332639065009191	0.913200834558231	1.01409638835142	0.5478497118536	0.191497458111893	-0.132496387064943	-1.86898763033537	-2.11821865991849	-0.626312640386097	0.401124882380474	-0.665982681813391	-0.308638146804629	-0.865737661687082	-0.751537778543845	-3.09603391472232	-0.0668688534820138	-0.874558857123909	-0.305850175644966	-0.367557168592913	0.290324924764165	-0.31515729135651	-0.48934192264303	0.453462565465771	0.43087617677058	0.0853226098686672	1.89370873474675	-0.512725542085283	-0.277375276907372	0.289764927999813	0.143061643262269	-0.260055093157695	0.137822405620034	-0.816420280316323	-2.81052613657639	-0.41214883527606	0.937858999103933	1.78687457373468	-0.279675842570716	-3.35996181614245
PC6	-0.399129373406976	-0.709422724333015	-0.532050276207684	2.31967943437639	0.0285462775303813	-0.546508902088187	-0.0176139805311774	-0.384525944145102	-1.07014529663596	-0.504579244000274	-0.1280279873532	-0.895167481035846	-0.955248134814965	-0.313873267578593	0.128215069001246	0.274985561650908	-0.0932855919952333	0.754983180179894	-0.453638393747201	-0.188179312224536	-0.175300851231401	-0.991037353023861	-0.967260212568052	-0.453453413991166	-0.523909663736301	1.36757369211336	0.0546979012454492	0.377489308540958	-0.254991070627938	0.755827555188989	-0.252894726306216	0.0265412501328605	-0.0715123617666491	-2.24824515568974	-0.319576648330919	-1.68815407142684	-0.46548309950387	-1.14163315850216	0.185019066773878	-1.18327421761586	-0.519480025455844	0.242211369630232	0.521242407602273	-0.548847860730422	0.00315232197212198	0.680877047086701	-0.758576945046729	0.816751264799453	-0.457453024288561	-0.317971543005867	-0.867637146642204	-0.267458548520965	-1.54372426026416	0.617915144430183	-1.58218374012741	0.529152231708397	-0.431984744197145	-0.751842397898488	0.610234228982496	-0.269339220186936	-0.757032712567767	-0.674944299208257	-0.837378484640091	0.835872376053993	-0.900255252615196	1.19275725296089	-0.432444138774208	0.371290694280648	-0.0663299463023272	-1.08871485102894	1.29849199227389	1.20529426934688	0.52100434457275	0.303476074874003	0.521980322854955	-0.707945001627571	0.332896080007139	-1.17013902144139	-0.893294627699245	-1.3797786290208	-0.419144267923393	-0.591435659824517	-0.736258564501988	-0.764451502043556	0.0166218316675742	-1.2523843918736	0.491460997730083	1.04719160232041	0.603316731702613	2.15925278695333	1.81307803567265	0.461794384879529	0.0766100337885042	0.264824304868334	-0.343965506958494	-1.31410931252871	0.153720620396434	0.349682425787284	-0.205596192786737	0.313283675878906	-0.676977517121541	0.953319430438441	-0.549516898890868	0.895695846510805	-0.397795029347217	1.1089276368119	1.36908641601849	-0.408933213343354	0.726469072738256	2.23509626895215	2.73505547637215	3.45833682755086	2.01737779737955	0.256198208575144	3.60628487610393	-1.0670436537058	-0.326775100566445	-0.414385202201249	1.62209652008509	0.59220828038872	0.360577539490723	-1.23175599732974	-0.712319002576546
PC7	0.909072766533426	1.2698662051098	1.36505686168341	1.08027577152289	1.04490070505041	0.0909566086963214	0.429537153918601	1.28076221140131	1.35443062681225	0.97642329747476	-0.625257935992536	0.0930999424562283	-0.00322174899521906	0.345110871968266	0.650055258658856	-0.500470725742334	0.755320868580604	-0.0547430583493064	0.820741161561683	0.853716242704151	-0.788641852943075	-0.489006938916281	-0.689883947141519	-1.35357388256995	-0.442415931601592	0.0117276881801784	-0.449541296532638	0.940166431188482	-0.429977194127215	1.11435291182735	0.273654303143727	-0.0682644778329067	0.691688348993231	0.611996559662523	0.88346246649346	-0.97445420983755	0.276194096925155	1.20067991535976	-0.513295322002714	0.657105919115963	0.135542861703226	0.659467167756914	0.07845419911634	0.570753556394291	-0.327985084420739	0.249733852487401	-0.634019360329931	-0.485637624098627	0.557916701941111	0.124891735292416	-1.50140663316794	-1.60728433751599	-1.35293087974984	-0.459267315565219	-1.67605628070507	-2.07976849121093	-0.933742601691929	-1.58161256115945	-1.54909760086132	-1.17098882565936	-0.412094769294441	0.186408973269476	0.706766477085667	0.146536249595259	-0.679211822103218	-0.315296401398199	-0.632713432983899	-0.39376926769267	-0.488774718671438	-0.453183087659606	0.371739542831415	0.607017009883661	-0.566828345702892	-2.24488282583853	-0.118422072788738	-0.558679827862589	-0.137692391749922	-1.86299630673579	-1.10117746810531	0.0235943378493748	-0.973915519980165	-0.423872491836708	-0.918621661236825	0.652887999507754	-0.96920576802721	-0.448303246567114	1.52634595390822	1.0402811720263	1.66565875042337	1.38240888709184	0.357991735519045	1.55555633344294	0.765459630163896	1.09105385370278	0.687135683346915	0.484322266922758	0.839899179120296	0.165621028823661	0.249295135520649	0.971116918279646	-0.280535285098592	-0.961823478216518	-0.480430619345145	0.349231010713977	0.0493151694506285	-0.873122806059566	-0.663035687048834	0.519519361002549	-1.80036606923205	-0.443222719130281	-2.83258092348064	-2.50745770367256	-1.28803276457912	1.62738318609863	1.47597768161616	1.1537155090238	0.73610331020436	-0.0690077481351265	1.23807515159627	0.401687850534752	3.01513801303528	1.23292908865256	-0.991484371003522
PC8	-0.601896839704239	-1.46419964470517	0.040431294812837	-0.430218560917743	-0.455530030455804	-1.40440486996182	-1.03171602566507	-0.286888266239617	-2.24059214713522	-0.89887532304836	0.266580625111057	-1.49225332214772	0.488589599976553	0.0810408004513845	1.52030583454095	-0.0204896354299165	1.077106935482	1.10487994037377	0.128145535592892	0.194404291324833	-0.144445030796342	-0.838336903607312	0.396504159282158	-0.588659415123511	-0.846268950752988	0.400960897049743	0.581676461953116	0.775065595978938	-0.155115581561795	1.57291148850019	-0.783511516182541	-0.167693378589192	0.708996543505759	1.47588025899303	-0.104210100165627	-1.6065396591502	-1.18804243813094	-1.31034972019591	-0.118172535791216	-1.24644944215496	-0.4983684353456	-0.153034097584523	-0.445170499884798	1.03627018961826	0.978995967700645	0.966206132244368	0.316778754644255	1.91691686406943	1.0410628053517	0.394953622345072	0.305606118344179	0.851554910061501	-0.11839646407491	0.816209871690961	-0.200286204524916	-0.193796904498851	0.693194296865716	0.605578545325481	2.52208686480214	1.58863216219221	1.68750981020121	0.483272708404252	0.167773556625248	-0.496974979191517	-0.82950304821142	0.0264235902880302	-0.40092716323362	-0.372121421547872	-2.10205813368694	-1.00026225348048	0.18120549470928	2.34400984400768	-0.358708915860957	0.0920252667841783	1.11296262641611	-1.18246948250726	1.15489411250772	-0.437540962224427	0.312201428667481	1.45741563474786	0.0922606724192574	-0.0481488955599123	0.434236203163371	-0.199600417320493	0.172860543173746	-0.947254196873161	0.321353090512592	0.397249630144244	0.858848615705616	-1.05777818352392	-0.447314095351586	1.10061000611078	-0.805061499443211	1.36945302685788	-1.73469056438122	-2.12437515803209	-1.11657533708907	-0.927189560483736	0.35251365006747	-0.188096883809057	1.34073887474153	1.59067542459771	-0.779911720425261	-0.745062554061047	0.450555900995688	0.979222202118249	-2.08583223079806	0.535737204198326	0.163316232897365	0.653953070664777	-0.995506158435132	-1.80128776357127	-1.4260078137079	0.413122568616267	-2.18577113627156	0.0802905838408397	0.775079978933575	0.837767275377089	-0.100947845141286	0.33414479357092	1.38275414653022	-1.19830476598657	0.625229946955178
PC9	0.135920858458875	0.101607240924879	0.446044839624099	1.44018630468627	0.135145539086595	-0.556793020637166	-0.731655617510797	-0.546292589883651	-0.11851766237503	1.06844359989803	0.753430411207568	-0.559122892959806	-0.642602623804152	1.61266414505296	-0.252270722529646	0.330125258276887	-0.397622973343629	0.950589263658484	0.44412770506573	0.474174878529588	0.991425474907306	-0.4271338243021	0.538232999754731	0.338841305727825	0.263428201063304	0.0913563798954736	0.179975806322198	0.403532450270026	-0.218344062370201	-0.0700245793672869	0.338083583226526	0.563664289295553	-1.79043694190608	-1.51902430404421	-1.2782852472015	1.10691543537105	1.09822538119719	-0.624556060329902	0.273098619167093	0.456387700791194	-0.403044753804414	0.396853558679474	0.101589826410459	1.52343381550882	1.56074132246169	0.808252190458112	0.987547193690654	0.829385696792751	1.28593898246548	1.60341900553761	1.00752378635962	0.579328202878474	1.73666475674822	1.5450400897236	1.47194942065841	2.75948227902064	0.97360689707498	0.922816384007401	-0.596539524900577	0.986198638685985	0.352754797621017	-0.091539772046697	0.164679999223979	-0.377345066629977	-1.68062290573889	0.241420651656309	-0.753937329480443	-0.933892156365037	-0.957334342950588	-1.12265274067334	-1.27078021519684	-0.707742313531393	0.0400697640306775	0.124002913225433	-1.07876584943147	0.355002160612655	-0.966669046350083	-0.61034388962632	-1.50348220321075	-0.986574812818037	-1.38850750829042	0.171143524293993	-1.91400238452833	-0.533430415466992	-0.458616407602261	-0.670895563203776	-0.432358753427895	2.37898207485383	-1.10172754588199	-2.42096759428154	0.414034685624452	-0.272067802067257	0.38425759076534	-0.939203126226235	-0.16962244018103	0.225009606342802	-0.0935100680214104	1.19720115658071	0.50643761485743	0.698573296993463	-1.0122171813427	-0.690339177239601	0.584397832534926	-0.611279380982727	-0.100051187413528	0.325309643572349	-1.13864726263907	-1.08961572089137	-1.3872321050697	0.607384865330479	-1.94092834471078	-0.767100698798882	-1.56223714680356	-0.414777653333467	2.94287921753479	0.855776118697794	0.194963129386151	0.240707080322906	0.0192574651381323	-0.0174991775092848	-1.37354552208781	-0.204123397356969	-2.16119129714283
PC10	-0.168914831355453	0.918479444373733	0.246668236643491	-0.331873716979506	1.20483148755368	0.4156962660995	0.561861914697994	0.588585435175173	-0.617513061222796	-0.116669238720678	0.513573677467247	0.153677807905796	-0.133613470873708	-0.0971909686420656	0.345730380156792	0.529041941786427	0.601689801552907	1.43278341902859	0.466398748668239	0.21179884805207	-0.49430815549293	-0.585442454744491	0.42746578314901	0.483698599951752	0.498457807682243	0.628570354284229	-0.664557013973254	0.269069551752616	0.140209924301197	-0.483677457252883	0.716057306438537	1.59148044864243	-1.3578291312882	-1.14716270111582	0.0563318219072067	0.633617939149582	0.947954930959238	0.241305214434117	1.95762192836832	0.629115704196353	0.663484873464298	2.31231355317026	1.32413140855209	0.545328132231836	0.490506736043285	0.197164812532018	-0.195823790002194	-1.20213131851021	-0.110488553083713	-0.510689916135624	-1.16947747060612	-0.275847588835529	-1.06324889327363	1.8600470181412	-1.75725927502134	-0.881613966646197	-0.187792218193374	-1.02404133691177	0.00921817867332405	-1.04189989626103	-1.51838643448876	0.974326195421586	1.00885492792351	1.37697903730487	0.0187199632814831	0.475704089037686	0.781164489547314	0.72570733979615	-0.360043900341129	-0.160642983011772	0.177561424336983	1.14992504524703	-0.771796768883809	0.448343737339143	0.295104184946734	2.0627308247857	0.700916536373387	-0.796820166691593	-0.166707649832835	-1.64305814304836	-0.324116595547434	-0.861407101948777	-0.596921925077798	-1.0720352534917	-0.225185580048609	-0.617215271785752	-1.42036525646753	-1.12788164481574	-0.914975299952771	-3.38770243760424	0.806171030708638	0.0948360790546454	-0.110614162071184	-1.55760304544196	-1.03315070171905	-1.23179512994641	-0.590210536373373	0.085745138901409	-1.68017568479799	-1.1254920706568	0.0726091519612514	-1.0619663617539	-0.0699061131854977	-0.529875917131709	0.644797957862714	0.508430887497334	0.343273815685777	-0.520666912525054	0.783434618614141	-0.0984366127287836	1.8067353674484	-0.440711517938776	0.560199763284523	0.684976188322567	-3.37533442038733	0.910625976328433	1.92940209700882	1.71865998126633	0.0308623099773143	-0.833918029348479	1.42201769565173	0.21292207032072	-1.78152130823569
